2025-08-07 20:10:23,200.0,MYR,USD,47.28,1 MYR = 0.236400 USD
2025-08-07 20:19:50,200.0,CNY,MYR,117.72,1 CNY = 0.588600 MYR
2025-08-12 07:26:35,1000.0,CAD,CNY,5226.31,1 CAD = 5.226310 CNY
2025-08-12 07:27:03,100.0,USD,MYR,424.01,1 USD = 4.240100 MYR
2025-08-12 15:14:54,400.0,EUR,USD,464.79,1 EUR = 1.161975 USD
2025-08-12 15:16:10,100.0,CNY,USD,13.91,1 CNY = 0.139100 USD
2025-08-13 09:34:02,3.0,USD,MYR,12.69,1 USD = 4.230000 MYR
2025-08-13 09:34:33,300.0,SGD,USD,233.59,1 SGD = 0.778633 USD
2025-08-13 09:37:41,12.0,MYR,USD,2.84,1 MYR = 0.236667 USD
2025-08-27 07:20:29,3.0,MYR,USD,0.71,1 MYR = 0.236667 USD
2025-08-27 07:28:20,100.0,USD,USD,100.0,1 USD = 1.000000 USD
2025-08-27 07:30:03,500.0,CNY,JPY,8527.13,1 CNY = 17.054260 JPY
2025-08-27 07:36:53,30.0,MYR,USD,7.14,1 MYR = 0.238000 USD
2025-08-27 07:38:12,20000.0,USD,USD,20000.0,1 USD = 1.000000 USD
2025-08-27 07:38:17,20000.0,MYR,USD,4761.9,1 MYR = 0.238095 USD
2025-08-27 07:45:05,500.0,USD,USD,500.0,1 USD = 1.000000 USD
2025-08-27 07:45:09,500.0,MYR,USD,119.05,1 MYR = 0.238100 USD
2025-08-27 07:46:32,15.0,SGD,USD,11.11,1 SGD = 0.740667 USD
2025-08-27 07:51:31,50.0,GBP,USD,66.67,1 GBP = 1.333400 USD
2025-08-27 11:05:28,10.0,MYR,USD,2.38,1 MYR = 0.238000 USD
